Contents Table						Header Table			Marker Table													Summary Table										Stimulus Table				Data Table																																																					
Table	Left	Top	Right	Bottom		Parameter	Value		Group	Name	Cage #	Age	Date	S	C	R	Eye	Name	uV	ms		Subject	Cage #	Step	Result	Eye	Trials	Rejects	Date	Comment		Step	Description	cd.s/m²		Step	Column	Chan	Result	Column	Trials	Step 1	Chan 1		Chan 2		Chan 3		Chan 4		Step 2	Chan 1			Chan 2			Chan 3			Chan 4			Step 3	Chan 1	Chan 2	Chan 3	Chan 4	Step 4	Chan 1	Chan 2	Chan 3	Chan 4	Step 5	Chan 1	Chan 2	Chan 3	Chan 4	Step 6	Chan 1	Chan 2	Chan 3	Chan 4	Step 7	Chan 1	Chan 2	Chan 3	Chan 4	
																																										221.5	2149.056640625	-8712.4140625	-4063.857421875	-10436.5390625	-1272.84301757813	-139.526519775391	-1850.09619140625	435.861297607422	221.5	-8531.185546875	-7275.689453125	-6171.75	-2131.35791015625	-11036.365234375	-19192.927734375	-486.887451171875	1985.73010253906	-172.676818847656	3013.8203125	-1034.57934570313	-3151.69360351563	221.5	23797.873046875	41308.9296875	-3486.77124023438	-3168.76440429688	221.5	-19880.236328125	3239.70849609375	16.9981689453125	-4452.17626953125	221.5	-48914.421875	-50043.6953125	-3134.2607421875	-1343.38525390625	221.5	-13798.783203125	7367.744140625	-1312.47900390625	-4263.275390625	221.5	118704.953125	253085.5	-2903.98046875	-4082.60864257813	
																																										222	2545.666015625	-8172.9453125	-5509.013671875	-8862.78125	-664.726806640625	308.685394287109	-2583.78295898438	1851.71166992188	222	-10648.552734375	-8064.27685546875	-6675.47265625	1553.494140625	-10674.5693359375	-17700.5625	-1685.4609375	329.052001953125	-336.981597900391	6086.33203125	61.35302734375	-16.6008529663086	222	22453.673828125	39655.05859375	-4167.79150390625	-3799.45483398438	222	-21022.525390625	-35.524169921875	-737.865234375	-6747.90673828125	222	-50736.515625	-50694.34375	-3591.45922851563	-1594.271484375	222	-15329.19140625	2418.509765625	-2116.4580078125	-7643.45654296875	222	117173.28125	253883.15625	-3923.75024414063	-5271.01904296875	
																																										222.5	2630.6953125	-7310.6875	-7469.40625	-9406.8515625	-332.141723632813	1130.5546875	-3481.75341796875	1402.8271484375	222.5	-13656.5263671875	-9503.3779296875	-7612.666015625	38.7490234375	-10655.923828125	-14889.396484375	-3332.939453125	-1456.28979492188	-928.13623046875	4254.9404296875	729.453002929688	3589.70629882813	222.5	24133.228515625	38891.25	-1978.15197753906	-3251.08935546875	222.5	-21980.443359375	-3367.65087890625	-1835.90283203125	-8667.46875	222.5	-53685.8671875	-50407.484375	-5519.27197265625	-1785.576171875	222.5	-17043.08203125	-2484.82421875	-2258.33081054688	-10782.2216796875	222.5	115677.140625	255143.046875	-4748.533203125	-5550.29296875	
																																										223	2597.69921875	-8026.328125	-8877.578125	-11115.34375	-229.825149536133	812.341796875	-3727.71337890625	-302.143096923828	223	-16599.51171875	-9947.9150390625	-8512.939453125	-5329.25390625	-10792.044921875	-12569.701171875	-4524.31396484375	-2112.59008789063	-1457.73901367188	-1342.94775390625	1000.97772216797	5982.06591796875	223	28020.171875	41316.515625	2089.51440429688	-212.818359375	223	-20713.25	-5492.83984375	-1286.88891601563	-9025.236328125	223	-56804.6484375	-49991.2109375	-7484.423828125	-1950.1181640625	223	-19856.2265625	-5993.25	-2780.60864257813	-12037.1650390625	223	114635	255451.859375	-4854.2919921875	-5964.62890625	
																																										223.5	2279.81640625	-9433.8359375	-9247.45703125	-11780.0078125	-409.841217041016	-230.310577392578	-2905.03076171875	-1263.02294921875	223.5	-18664.685546875	-9073.861328125	-8537.1328125	-9030.052734375	-10047.814453125	-12286.7490234375	-4531.1943359375	-1341.08459472656	-1196.58129882813	-5554.68505859375	1651.77685546875	5868.96533203125	223.5	30336.81640625	46397.0859375	4589.666015625	4575.35986328125	223.5	-18983.05078125	-7572.9267578125	-79.594482421875	-8592.4765625	223.5	-58906.1875	-50118.46875	-8148.56396484375	-2519.30297851563	223.5	-20822.375	-6824.90625	-1965.54467773438	-10439.6708984375	223.5	114218.4921875	254829.21875	-4136.90673828125	-6762.3330078125	
																																										224	1004.029296875	-10162.9140625	-9631.65234375	-10483.0546875	-1250.82202148438	-791.628234863281	-1871.93896484375	-409.853088378906	224	-19632.62109375	-8101.7265625	-7518.865234375	-9509.123046875	-8373.744140625	-12901.65234375	-3284.35107421875	-235.80046081543	-18.3516082763672	-5989.46875	2823.34814453125	4257.92529296875	224	29389.736328125	48622.15234375	3672.56323242188	6633.41357421875	224	-19918.453125	-9575.443359375	-773.185791015625	-7754.39990234375	224	-57776.3671875	-50381.7578125	-5939.103515625	-3266.72143554688	224	-18777.82421875	-5340.84765625	1063.34399414063	-6719.267578125	224	114343.3359375	254228.828125	-2858.44677734375	-7288.7275390625	
																																										224.5	-1019.072265625	-10796.609375	-10231.98046875	-7971.1171875	-2523.87060546875	-991.687377929688	-1090.79650878906	1621.77026367188	224.5	-18275.89453125	-6788.9287109375	-6977.71484375	-10563.9716796875	-7585.66064453125	-12943.591796875	-293.515014648438	930.593688964844	833.33154296875	-5332.31640625	3186.91552734375	2839.00341796875	224.5	28994.837890625	46358.97265625	2193.95361328125	4190.6494140625	224.5	-22821.00390625	-9738.11328125	-3191.0576171875	-5604.462890625	224.5	-55258.35546875	-50123.2265625	-2452.37426757813	-3651.57885742188	224.5	-16713.28125	-3879.67578125	3964.04663085938	-3316.79833984375	224.5	114303.7421875	253741.984375	-1760.39685058594	-7336.76904296875	
																																										225	-1917.40625	-12480.2578125	-10180.4697265625	-6226.46875	-2769.54736328125	-1682.1513671875	-102.009857177734	2949.166015625	225	-16513.33984375	-5681.552734375	-7428.939453125	-12619.3046875	-9123.30078125	-12428.99609375	2744.63745117188	1628.98718261719	705.878723144531	-4954.4921875	1581.80798339844	2116.88232421875	225	30638.3203125	42845.6953125	2158.38916015625	26.2938537597656	225	-25442.65234375	-9776.6064453125	-5328.5703125	-3437.33056640625	225	-54592.93359375	-49181.2265625	-740.7041015625	-3483.8701171875	225	-16465.32421875	-3369.57421875	4795.76416015625	-1606.7216796875	225	113735.5625	253051.46875	-1295.30541992188	-7145.81298828125	
																																										225.5	-1280.2265625	-13923.5625	-10036.7431640625	-7065.8203125	-1542.82836914063	-2114.99291992188	764.382080078125	1910.92907714844	225.5	-17425.10546875	-6815.498046875	-7252.97265625	-12716.05078125	-11425.9765625	-12137.4267578125	3188.13208007813	454.238464355469	715.569030761719	-3336.90795898438	-768.73193359375	1579.95776367188	225.5	30760.796875	40278.375	1497.79187011719	-3012.40258789063	225.5	-27279.033203125	-13026.71484375	-6233.5078125	-3888.25439453125	225.5	-55272.3359375	-49124.625	-999.22314453125	-3892.21020507813	225.5	-17283.796875	-4040.32421875	3929.28833007813	-1804.3193359375	225.5	112801.203125	252397.21875	-1349.58081054688	-6686.35546875	
																																										226	-771.53125	-12931.3359375	-9632.875	-9767.5703125	-210.114456176758	-686.3310546875	1555.94616699219	-889.279907226563	226	-18249.59765625	-9206.521484375	-5668.625	-9732.8974609375	-11605.341796875	-12453.009765625	2739.30737304688	-1816.33508300781	1667.86596679688	337.826721191406	-1332.8076171875	766.727172851563	226	28383.6875	39808.0703125	-838.161193847656	-3420.59912109375	226	-28856.92578125	-19529.375	-6204.55322265625	-7090.64404296875	226	-56861.71484375	-50260.4296875	-2543.31884765625	-5243.6064453125	226	-18829.69140625	-6162.328125	2130.13500976563	-3651.38110351563	226	112405.3046875	251869.828125	-1149.37780761719	-5982.90869140625	
																																										226.5	-1572.93359375	-10328.4296875	-7599.296875	-12133.609375	-29.2209548950195	2020.67114257813	3184.03051757813	-3277.88037109375	226.5	-15544.2265625	-9913.408203125	-4091.40625	-5560.4990234375	-9594.228515625	-12573.26171875	4381.3408203125	-2666.99438476563	2617.16723632813	4489.9794921875	269.734283447266	145.424133300781	226.5	27204.05859375	41598.36328125	-2280.18505859375	-1285.17663574219	226.5	-29361.353515625	-24721.796875	-5021.40478515625	-9278.2890625	226.5	-60671.6640625	-50239.3203125	-5631.724609375	-5816.2861328125	226.5	-21660.2265625	-8673.48828125	-417.530120849609	-5859.1337890625	226.5	113369.1640625	251099.8125	15.549072265625	-5369.7041015625	
																																										227	-3487.205078125	-8731.265625	-4971.556640625	-13111.84375	-985.627502441406	3715.61987304688	4944.84375	-3910.73217773438	227	-10200.1376953125	-8259.8466796875	-4131.4658203125	-2624.6328125	-7369.80810546875	-11898.8623046875	7863.01123046875	-1226.71740722656	2192.76684570313	6812.728515625	2273.13403320313	217.782012939453	227	29476.73828125	42528.94921875	-786.116821289063	532.636352539063	227	-28762.068359375	-24938.21484375	-2965.2255859375	-7078.32080078125	227	-63251.6875	-50161.46875	-7496.5439453125	-6032.232421875	227	-24681.87109375	-10763.04296875	-2638.10595703125	-7351.576171875	227	114869.109375	249967.984375	1527.56909179688	-5015.2197265625	
																																										227.5	-5232.58984375	-8991.7578125	-4142.322265625	-12292.1328125	-1909.27331542969	3341.73120117188	4963.125	-2503.396484375	227.5	-5934.669921875	-6274.4208984375	-5793.50390625	-1905.814453125	-5864.62451171875	-11289.8720703125	10100.408203125	821.381408691406	318.419067382813	6322.25927734375	3352.06079101563	400.7451171875	227.5	32395.703125	40654.21875	1645.95581054688	-99.1830749511719	227.5	-28894.044921875	-22245.34765625	-1623.35913085938	-1997.12048339844	227.5	-60842.7578125	-52166.3828125	-5110.71728515625	-7468.802734375	227.5	-27147.42578125	-12027.75390625	-3757.93530273438	-7672.513671875	227.5	115745.3515625	248853.546875	2298.34423828125	-4666.123046875	
																																										228	-5759.681640625	-10102.8515625	-4861.37109375	-10933.078125	-1715.16564941406	1751.330078125	3280.681640625	-386.585784912109	228	-6348.52734375	-6224.79345703125	-7645.779296875	-1689.97998046875	-5306.3095703125	-11570.59375	7977.13671875	1240.46875	-1669.83984375	4568.3427734375	3114.21606445313	-40.8773193359375	228	32974.2421875	37429.796875	2162.6474609375	-2234.09423828125	228	-29280.978515625	-19347.919921875	-985.715270996094	2859.89111328125	228	-57559.375	-53773.46875	-1472.57958984375	-8582.8125	228	-29383.7265625	-12602.7890625	-4007.44287109375	-7073.560546875	228	115678.015625	248379.34375	1933.10888671875	-3843.55395507813	
																																										228.5	-5225.107421875	-10819.609375	-4831.064453125	-11685.46875	-454.637847900391	387.648742675781	1885.37780761719	12.9308547973633	228.5	-9958.2763671875	-7525.27734375	-7998.45703125	-782.84423828125	-6042.494140625	-11958.1650390625	2674.58276367188	120.174438476563	-2145.71484375	3173.22998046875	1551.51403808594	-638.007629394531	228.5	32021.6796875	33649.6484375	876.832641601563	-4620.54248046875	228.5	-28807.04296875	-17834.62109375	-175.055786132813	5335.9091796875	228.5	-58001.375	-53724.0390625	-910.97265625	-8183.62109375	228.5	-29699.453125	-14248.671875	-2524.50366210938	-7072.67724609375	228.5	114713.078125	248403.90625	624.091186523438	-2645.09375	
																																										229	-3942.609375	-10601.9140625	-4265.36328125	-14019.25	1343.39965820313	55.1192855834961	1193.79040527344	-1251.75317382813	229	-12435.583984375	-7799.345703125	-7202.984375	-464.1171875	-7196.1826171875	-11532.94921875	-1634.57495117188	-528.236938476563	-1209.89489746094	1745.58972167969	-339.058898925781	-593.519287109375	229	31597.28515625	32166.68359375	-354.193267822266	-4769.41455078125	229	-29315.171875	-18500.193359375	-224.630859375	4735.0986328125	229	-59185.4453125	-55813	-2019.19506835938	-8807.7666015625	229	-27169.44921875	-16065.2890625	1053.1513671875	-7357.28759765625	229	114024.484375	248269.0625	-498.586608886719	-1667.140625	
																																										229.5	-1669.138671875	-9944.03125	-4728.51171875	-14397.8203125	3470.77905273438	423.006988525391	175.812622070313	-1366.23645019531	229.5	-13558.859375	-7253.01953125	-7180.259765625	-51.134765625	-7560.99658203125	-10832.6328125	-3644.82836914063	-323.275268554688	-545.019958496094	696.419921875	-1310.49377441406	-177.6962890625	229.5	31857.875	36089.44140625	-813.3251953125	-423.700225830078	229.5	-31697.52734375	-19657.130859375	-1777.20886230469	2794.91064453125	229.5	-56096.41015625	-61328.21875	-657.43896484375	-11731.62890625	229.5	-24420.265625	-15741.7421875	4452.25390625	-6236.3662109375	229.5	115119.3359375	247913.34375	-101.703796386719	-1109.88366699219	
																																										230	553.0859375	-10275.9140625	-4793.076171875	-12276.4921875	4997.9619140625	235.854370117188	-409.509094238281	592.570922851563	230	-14805.6630859375	-7389.57958984375	-7107.71875	137.00390625	-7495.39404296875	-10545.251953125	-4391.90185546875	-323.512634277344	-61.1529541015625	-190.877197265625	-1431.17980957031	-15.2572174072266	230	31712.09375	41797.6171875	-1145.34204101563	5381.34912109375	230	-33820.91796875	-20025.595703125	-3199.9609375	1295.62768554688	230	-51544.01171875	-66000.9140625	1913.3505859375	-13863.37890625	230	-24136.07421875	-13484.3515625	5175.25	-3722.541015625	230	117500.2578125	247388.953125	1483.96557617188	-927.004272460938	
																																										230.5	817.775390625	-12158.2421875	-3450.70703125	-9741.7421875	4491.2451171875	-1122.47961425781	190.083633422852	2983.74829101563	230.5	-13326.017578125	-8237.431640625	-5431.984375	-1505.970703125	-7931.798828125	-10083.73828125	-2591.9697265625	-820.28173828125	1291.6728515625	-2065.13818359375	-1545.50573730469	149.195739746094	230.5	30342.330078125	44806.2734375	-2116.7685546875	8235.3310546875	230.5	-33368.453125	-20118.90234375	-2480.77880859375	384.20263671875	230.5	-51368.8984375	-67338.40625	1144.5390625	-12790.2763671875	230.5	-25212.5390625	-10338.453125	3849.01489257813	-900.98583984375	230.5	120058.7421875	246905.71875	3082.14721679688	-875.158813476563	
																																										231	37.966796875	-13909.0390625	-2674.8515625	-7832.34375	2671.9677734375	-2386.19091796875	579.098510742188	4437.20068359375	231	-6935.8515625	-9171.818359375	-3786.787109375	-3484.5341796875	-8984.48046875	-9158.99609375	2810.57348632813	-1386.21618652344	2484.90625	-3940.49267578125	-1993.1083984375	558.774536132813	231	28192.291015625	45409.0390625	-3497.9951171875	7622.32568359375	231	-30383.45703125	-19952.30078125	406.120361328125	-24.467041015625	231	-55232.3046875	-65159.1953125	-3261.91650390625	-8435.41015625	231	-25871.99609375	-7719.09765625	2369.82080078125	777.13427734375	231	121734.9453125	246873.703125	3559.59375	-575.137145996094	
																																										231.5	965.40234375	-14263.671875	-3418.291015625	-7649.3359375	1953.40686035156	-2321.6884765625	-211.832641601563	3937.85717773438	231.5	-2148.8662109375	-8232.375	-3582.7197265625	-4800.72509765625	-9027.728515625	-8561.640625	6714.232421875	-545.010375976563	2325.6884765625	-4827.58203125	-1704.49853515625	695.123718261719	231.5	26516.98828125	44877.734375	-4248.68701171875	5067.912109375	231.5	-28649.544921875	-19455.138671875	2318.8408203125	-70.20751953125	231.5	-60346.6875	-61094.7734375	-8595.072265625	-2811.34155273438	231.5	-27960.2734375	-6845.62109375	181.229904174805	277.82275390625	231.5	121624.4453125	247089.34375	2226.76831054688	-127.033935546875	
																																										232	3426.748046875	-13763.34375	-3982.568359375	-9498.2890625	2681.841796875	-1227.23229980469	-1037.58630371094	1484.58312988281	232	-5553.869140625	-4750.314453125	-3725.9189453125	-5576.8994140625	-6994.15576171875	-8933.5556640625	3550.49609375	2210.94384765625	1515.90380859375	-4698.345703125	154.208770751953	53.8827972412109	232	25559.05859375	44258.1328125	-4020.7431640625	2347.12133789063	232	-31481.58984375	-19798.248046875	293.167724609375	-688.359008789063	232	-64847.5078125	-59285	-12370.625	185.033203125	232	-32488.7890625	-8046.31640625	-3257.76318359375	-2369.21923828125	232	120780.15625	247001.203125	89.9332275390625	19.6702880859375	
																																										232.5	5136.302734375	-12869.71875	-2847.666015625	-11629.4609375	3084.376953125	227.04167175293	-525.715942382813	-1171.44140625	232.5	-11909.767578125	-2024.42834472656	-3604.6279296875	-5054.748046875	-5051.3203125	-10041.3037109375	-2985.92236328125	4275.07568359375	827.236694335938	-3271.0625	1952.20703125	-1152.31567382813	232.5	25874.513671875	44040.8203125	-2563.41528320313	484.314361572266	232.5	-36783.3828125	-20319.439453125	-4131.482421875	-1531.23083496094	232.5	-65398.09375	-60620.671875	-11817.041015625	-639.609375	232.5	-36782.76953125	-9819.26953125	-5937.42724609375	-5522.80322265625	232.5	120359.421875	246089.78125	-1511.14477539063	-552.467407226563	
																																										233	5260.5537109375	-11757.3046875	-810.765625	-12156.9375	2134.10668945313	1564.32995605469	876.461120605469	-2114.12329101563	233	-12799.951171875	-2897.91064453125	-4225.69140625	-3482.822265625	-4813.2392578125	-11227.5068359375	-5216.47998046875	3102.19921875	-169.554840087891	-1020.04443359375	2115.77514648438	-2249.40380859375	233	27115.95703125	43586	-400.622985839844	-810.40869140625	233	-39215.90625	-20267.564453125	-6217.166015625	-1924.79296875	233	-61991.9453125	-63878.1953125	-7234.71435546875	-3874.65795898438	233	-38507.9296875	-10054.6328125	-5856.8271484375	-7058.4169921875	233	119992.7578125	244558.875	-2490.54638671875	-1638.95251464844	
																																										233.5	4643.9560546875	-10558.9453125	232.9140625	-11283.953125	412.556793212891	2528.87329101563	1527.19702148438	-1298.69262695313	233.5	-8200.171875	-5627.4365234375	-5202.970703125	-2251.6064453125	-5598.3046875	-12847.697265625	-1773.91369628906	-83.9422454833984	-1213.00671386719	714.272216796875	1005.57464599609	-3262.85107421875	233.5	27385.880859375	42742.7421875	796.9296875	-1849.24108886719	233.5	-36887.32421875	-21134.78515625	-3779.01538085938	-2750.0703125	233.5	-59570.6484375	-67335.8359375	-3170.5986328125	-7216.45458984375	233.5	-37611.18359375	-9816.515625	-3051.45336914063	-7412.42822265625	233.5	118793.4609375	243129.59375	-3525.5791015625	-2537.84106445313	
																																										234	4664.541015625	-8763.65625	-355.3359375	-10895.1640625	-740.631469726563	3457.49853515625	664.311889648438	-430.302429199219	234	-2886.12109375	-6668.72314453125	-5156.349609375	-2090.15625	-7323.84912109375	-15125.0732421875	3145.611328125	-1980.26123046875	-1288.80822753906	1130.12036132813	-886.585876464844	-4320.6923828125	234	26167.974609375	41776.52734375	401.659362792969	-2611.72265625	234	-33366.921875	-22297.6953125	296.498046875	-3679.12255859375	234	-59771.6328125	-68039.3359375	-2057.48754882813	-7833.830078125	234	-37034.8515625	-10621.64453125	-248.682373046875	-7989.52880859375	234	116263.6171875	241826.515625	-5119.95458984375	-3039.412109375	
																																										234.5	5366.625	-7396.3359375	-1676.125	-11946.3359375	-977.246398925781	3743.00366210938	-958.226928710938	-710.579345703125	234.5	2109.6201171875	-5698.8818359375	-4873.5859375	-2863.20678710938	-9010.326171875	-16559.34375	7020.4423828125	-1620.81896972656	-875.482421875	387.6865234375	-2465.51879882813	-4418.56982421875	234.5	23602.408203125	41611.12890625	-1287.65759277344	-2519.560546875	234.5	-32056.6796875	-22421.357421875	2339.220703125	-3699.84594726563	234.5	-61604.46875	-66712.3203125	-3316.88891601563	-6056.52734375	234.5	-39432.66796875	-12576.77734375	-118.264892578125	-9235.03125	234.5	113297.2734375	240347.265625	-6647.18603515625	-3354.44775390625	
																																										235	5472.6982421875	-7640.8203125	-2674.56640625	-12890.5390625	-1244.498046875	2585.49731445313	-2167.07470703125	-1191.27844238281	235	7244.6513671875	-4529.404296875	-5603.880859375	-4722.5703125	-8523.111328125	-16929.6328125	9404.99609375	-452.352569580078	-1055.54113769531	-1251.24584960938	-2005.20532226563	-3369.52465820313	235	20181.2265625	42610.8046875	-3463.9189453125	-1363.32434082031	235	-32895.94140625	-23950.857421875	1666.52221679688	-4376.87109375	235	-64009.078125	-66077.5625	-5411.78955078125	-4453.8017578125	235	-42708.10546875	-16924.77734375	-1405.69543457031	-11933.876953125	235	111308.8984375	238323.25	-6944.4248046875	-3832.72729492188	
																																										235.5	4945.4384765625	-7532	-2722.8828125	-11456.1875	-1832.31030273438	1454.0107421875	-2233.98852539063	-10.9365310668945	235.5	8595.634765625	-3892.64111328125	-7110.02734375	-7221.07421875	-7058.6279296875	-17988.3359375	7841.833984375	345.826110839844	-1843.09545898438	-3114.013671875	-339.223114013672	-2587.48901367188	235.5	17729.9140625	42835.6328125	-4458.70751953125	-661.914184570313	235.5	-34805.421875	-29235.06640625	-539.051513671875	-7508.82958984375	235.5	-65714.7421875	-65834.046875	-6693.513671875	-3624.8779296875	235.5	-42771.125	-22577.3359375	-631.769165039063	-15097.3681640625	235.5	110516.9609375	235129.171875	-5800.2587890625	-4946.6826171875	
																																										236	4481.96875	-6317.046875	-2512.779296875	-7953.265625	-2290.95947265625	1276.49645996094	-1682.19287109375	2750.32397460938	236	3955.63427734375	-4543.6474609375	-8639.12109375	-8986.552734375	-6630.16943359375	-18857.51953125	1273.65161132813	-71.4327392578125	-2580.75732421875	-3972.3994140625	609.915161132813	-1842.82653808594	236	18550.375	41649.234375	-2510.52587890625	-1172.51721191406	236	-36557.62109375	-34458.45703125	-2596.90698242188	-10374.03515625	236	-66608.890625	-65863.171875	-6748.802734375	-3561.14477539063	236	-39263.578125	-25744.58203125	2971.09545898438	-15676.390625	236	109982.3515625	230617.5	-4153.80078125	-6734.93994140625	
																																										236.5	4126.818359375	-5802.890625	-2957.615234375	-4807.1484375	-2471.89672851563	914.4853515625	-1452.12890625	4997.61669921875	236.5	-2290.5166015625	-6701.98779296875	-9481.205078125	-9241.029296875	-6333.990234375	-17767.25390625	-6220.302734375	-1777.14636230469	-2573.22680664063	-3180.07250976563	1005.77856445313	61.6529846191406	236.5	22818.21484375	41354.91015625	2211.18579101563	-1281.22863769531	236.5	-36136.91796875	-34521.4296875	-2587.5244140625	-8785.115234375	236.5	-66642.0234375	-67142.4296875	-5737.7783203125	-4687.37646484375	236.5	-34611.7421875	-26328.1875	7242.81103515625	-13332.005859375	236.5	109211.8984375	226032.15625	-2789.93627929688	-8146.13525390625	
																																										237	3526.1875	-6735.2265625	-3288.615234375	-3679.59375	-2606.1083984375	-390.642700195313	-1250.32092285156	5044.23193359375	237	-5723.7314453125	-9027.9140625	-9358.43359375	-7079.2998046875	-5627.26953125	-15744.5859375	-10055.6142578125	-3497.00146484375	-1599.580078125	-374.43212890625	1343.607421875	2448.36889648438	237	27765.14453125	43458.921875	6962.5615234375	383.393249511719	237	-33703.85546875	-32542.88671875	-581.271118164063	-4720.2744140625	237	-66850.7734375	-68766.59375	-4738.849609375	-6144.68310546875	237	-31264.59375	-26850.7578125	9573.8466796875	-10401.6533203125	237	108225.9765625	222675.5625	-1918.01733398438	-8047.1767578125	
																																										237.5	2424.3515625	-8057.625	-2995.47265625	-4573.6640625	-2933.64453125	-1916.478515625	-667.337036132813	2898.78540039063	237.5	-5954.6025390625	-11030.1640625	-8233.587890625	-3495.22265625	-5427.19384765625	-14275.470703125	-9362.619140625	-4459.62890625	160.930145263672	3276.6318359375	1194.94421386719	3967.87060546875	237.5	29522.2421875	46342.02734375	8177.083984375	2682.32275390625	237.5	-32029.1015625	-33814.55859375	978.237060546875	-2959.357421875	237.5	-68287.6875	-69911.921875	-4812.5654296875	-7015.35791015625	237.5	-31615.59375	-30017.51171875	7939.17626953125	-9637.384765625	237.5	106131.5234375	220157.9375	-2102.7744140625	-6730.830078125	
																																										238	1361.662109375	-8179.546875	-3030.951171875	-6475.1640625	-3109.087890625	-2294.22241210938	-311.50537109375	-147.241638183594	238	-5619.87890625	-12622.3330078125	-6269.103515625	-1872.142578125	-6551.787109375	-13767.123046875	-6774.94775390625	-4512.24853515625	2284.09423828125	4840.33203125	42.9633407592773	4097.685546875	238	27012.455078125	46300.95703125	4907.9404296875	2590.04736328125	238	-32473.1484375	-36138.33984375	507.47412109375	-2974.4169921875	238	-69739.75	-70782.4921875	-5191.80126953125	-7276.7890625	238	-34774.10546875	-37350.2265625	3375.9404296875	-12388.7216796875	238	102865.6796875	217234.09375	-3258.0986328125	-5447.4921875	
																																										238.5	611.091796875	-7431.203125	-4102.375	-7916.171875	-2886.79296875	-1595.31958007813	-767.330749511719	-2384.04467773438	238.5	-7332.97314453125	-12814.80859375	-4087.609375	-3277.19677734375	-8702.5478515625	-13599.599609375	-5415.46484375	-3177.5625	4061.13818359375	3217.92041015625	-1789.79919433594	3414.59033203125	238.5	24538.306640625	43503.01171875	965.03466796875	-90.4819488525391	238.5	-33338.15234375	-35242.83203125	-841.43017578125	-1416.95629882813	238.5	-70084.1171875	-71527.234375	-4820.40185546875	-7160.005859375	238.5	-37668.52734375	-44391.609375	-878.317749023438	-15097.9033203125	238.5	99857.8828125	213422.921875	-4127.2041015625	-4931.6328125	
																																										239	-502.083984375	-7528.734375	-5357.193359375	-8864.0078125	-2741.68627929688	-1250.80920410156	-1431.8046875	-3402.99975585938	239	-7978.2119140625	-11634.345703125	-2675.3564453125	-5875.7099609375	-10607.67578125	-12853.0986328125	-3897.60986328125	-748.006286621094	4652.625	130.974487304688	-3144.63818359375	2929.03173828125	239	25652.5859375	41932.12890625	143.066253662109	-2074.70654296875	239	-32590.25390625	-32424.28515625	-1110.50830078125	1442.60034179688	239	-70685.0859375	-71872.984375	-4472.2880859375	-6665.4130859375	239	-38981.73046875	-46152.5	-2904.08081054688	-13311.541015625	239	97392.265625	208996.171875	-4204.34716796875	-5060.00244140625	
																																										239.5	-2425.771484375	-7884.625	-5558.51953125	-9912.84375	-3088.59033203125	-1214.45874023438	-1242.37841796875	-3745.49194335938	239.5	-2698.466796875	-10278.7705078125	-2909.826171875	-7870.08642578125	-11322.794921875	-12260.138671875	1320.80993652344	1544.79272460938	3502.640625	-2240.017578125	-3123.603515625	2423.84838867188	239.5	28512.748046875	41315.88671875	1633.74792480469	-2686.14404296875	239.5	-31688.7578125	-33219.5234375	-918.262329101563	1503.16455078125	239.5	-72160.3671875	-72260.59375	-4764.2431640625	-6209.5341796875	239.5	-39859.1171875	-43964.515625	-3359.61376953125	-7735.1552734375	239.5	95050.765625	203939.734375	-3797.654296875	-5633.6552734375	
																																										240	-4030.15234375	-6622.90625	-4789.818359375	-10257.3984375	-3167.89306640625	-178.897247314453	-151.556594848633	-3209.44946289063	240	5175.83935546875	-8723.890625	-4347.54296875	-8123.3681640625	-10102.5478515625	-13464.669921875	8022.994140625	3321.82373046875	1216.65856933594	-2551.82397460938	-1293.99975585938	768.176147460938	240	28349.572265625	39302.33203125	1407.74560546875	-3534.75537109375	240	-32391.68359375	-39103.18359375	-1699.75695800781	-2744.0498046875	240	-71804.8828125	-73773.9140625	-3928.57885742188	-6632.767578125	240	-42641.68359375	-40833.328125	-4397.71337890625	-1660.2001953125	240	93086.65625	198458.90625	-2969.86743164063	-6303.642578125	
																																										240.5	-3864.92578125	-4567.171875	-3544.333984375	-9996.25	-1862.30944824219	1413.3681640625	1280.97180175781	-2068.18579101563	240.5	7615.193359375	-6995.69677734375	-5375.375	-6076.72314453125	-6840.89697265625	-15611.767578125	9704.5078125	4506.224609375	-596.655395507813	-535.166748046875	2026.81555175781	-1471.17687988281	240.5	23837.98046875	36689.8515625	-2229.63427734375	-4485.3212890625	240.5	-32112.90234375	-44512.58984375	-1911.4296875	-6905.19970703125	240.5	-68797.5078125	-75098.765625	-1242.82666015625	-7058.2001953125	240.5	-47354.26171875	-38377.25	-6525.2548828125	2463.97265625	240.5	91703.2890625	193229.015625	-1759.76940917969	-6467.390625	
																																										241	-2475.3046875	-4546.9375	-2549.162109375	-10147.984375	414.404510498047	1393.30383300781	2257.47705078125	-1249.07238769531	241	3435.9560546875	-6358.71142578125	-4659.2412109375	-4053.52490234375	-3243.23828125	-16322.873046875	4826.21240234375	4349.43701171875	-629.747253417969	1656.25732421875	5115.56201171875	-2354.92724609375	241	20910.390625	35483.43359375	-4909.9638671875	-4173.21337890625	241	-29462.185546875	-44741.828125	-366.555053710938	-6458.943359375	241	-68103.625	-75912.3671875	-329.82373046875	-7020.44677734375	241	-50852.40625	-38013.78125	-7474.962890625	3251.869140625	241	90734.015625	188939.6875	-423.975952148438	-5615.46728515625	
